frame	time	Max Temp	units
100	2022-08-10 10:57:33.053000	1.315657e+02	C
101	2022-08-10 10:57:33.087000	1.298227e+02	C
102	2022-08-10 10:57:33.120000	1.304053e+02	C
103	2022-08-10 10:57:33.153000	1.313727e+02	C
104	2022-08-10 10:57:33.187000	1.302113e+02	C
105	2022-08-10 10:57:33.220000	1.305992e+02	C
106	2022-08-10 10:57:33.253000	1.282612e+02	C
107	2022-08-10 10:57:33.287000	1.270823e+02	C
108	2022-08-10 10:57:33.320000	1.260947e+02	C
109	2022-08-10 10:57:33.353000	1.380259e+02	C
110	2022-08-10 10:57:33.387000	1.344395e+02	C
111	2022-08-10 10:57:33.420000	1.313727e+02	C
112	2022-08-10 10:57:33.453000	1.302113e+02	C
113	2022-08-10 10:57:33.487000	1.376511e+02	C
114	2022-08-10 10:57:33.520000	1.321436e+02	C
115	2022-08-10 10:57:33.553000	1.321436e+02	C
116	2022-08-10 10:57:33.587000	1.319511e+02	C
117	2022-08-10 10:57:33.620000	1.280652e+02	C
118	2022-08-10 10:57:33.653000	1.327198e+02	C
119	2022-08-10 10:57:33.687000	1.276726e+02	C
120	2022-08-10 10:57:33.720000	1.288481e+02	C
121	2022-08-10 10:57:33.753000	1.286526e+02	C
122	2022-08-10 10:57:33.787000	1.276726e+02	C
123	2022-08-10 10:57:33.820000	1.305992e+02	C
124	2022-08-10 10:57:33.853000	1.311796e+02	C
125	2022-08-10 10:57:33.887000	1.331032e+02	C
126	2022-08-10 10:57:33.920000	1.266878e+02	C
127	2022-08-10 10:57:33.953000	1.264903e+02	C
128	2022-08-10 10:57:33.987000	1.331032e+02	C
129	2022-08-10 10:57:34.020000	1.365229e+02	C
130	2022-08-10 10:57:34.053000	1.294334e+02	C
131	2022-08-10 10:57:34.087000	1.363344e+02	C
132	2022-08-10 10:57:34.120000	1.380259e+02	C
133	2022-08-10 10:57:34.153000	1.348198e+02	C
134	2022-08-10 10:57:34.187000	1.302113e+02	C
135	2022-08-10 10:57:34.220000	1.332946e+02	C
136	2022-08-10 10:57:34.253000	1.344395e+02	C
137	2022-08-10 10:57:34.287000	1.309863e+02	C
138	2022-08-10 10:57:34.320000	1.361456e+02	C
139	2022-08-10 10:57:34.353000	1.325279e+02	C
140	2022-08-10 10:57:34.387000	1.376511e+02	C
141	2022-08-10 10:57:34.420000	1.206776e+02	C
142	2022-08-10 10:57:34.453000	1.102325e+02	C
143	2022-08-10 10:57:34.487000	1.065445e+02	C
144	2022-08-10 10:57:34.520000	1.080721e+02	C
145	2022-08-10 10:57:34.553000	1.072008e+02	C
146	2022-08-10 10:57:34.587000	1.052247e+02	C
147	2022-08-10 10:57:34.620000	1.018816e+02	C
148	2022-08-10 10:57:34.653000	9.999688e+01	C
149	2022-08-10 10:57:34.687000	9.999688e+01	C
150	2022-08-10 10:57:34.720000	9.999688e+01	C
151	2022-08-10 10:57:34.753000	9.999688e+01	C
152	2022-08-10 10:57:34.787000	9.999688e+01	C
153	2022-08-10 10:57:34.820000	9.999688e+01	C
154	2022-08-10 10:57:34.853000	9.999688e+01	C
155	2022-08-10 10:57:34.887000	9.999688e+01	C
156	2022-08-10 10:57:34.920000	9.999688e+01	C
157	2022-08-10 10:57:34.953000	1.256984e+02	C
158	2022-08-10 10:57:34.987000	1.393327e+02	C
159	2022-08-10 10:57:35.020000	1.380259e+02	C
160	2022-08-10 10:57:35.053000	1.359567e+02	C
161	2022-08-10 10:57:35.087000	1.430250e+02	C
162	2022-08-10 10:57:35.120000	1.411864e+02	C
163	2022-08-10 10:57:35.153000	1.374635e+02	C
164	2022-08-10 10:57:35.187000	1.464786e+02	C
165	2022-08-10 10:57:35.220000	1.432081e+02	C
166	2022-08-10 10:57:35.253000	1.415553e+02	C
167	2022-08-10 10:57:35.287000	1.380259e+02	C
168	2022-08-10 10:57:35.320000	1.441212e+02	C
169	2022-08-10 10:57:35.353000	1.450307e+02	C
170	2022-08-10 10:57:35.387000	1.448491e+02	C
171	2022-08-10 10:57:35.420000	1.441212e+02	C
172	2022-08-10 10:57:35.453000	1.471991e+02	C
173	2022-08-10 10:57:35.487000	1.462981e+02	C
174	2022-08-10 10:57:35.520000	1.466589e+02	C
175	2022-08-10 10:57:35.553000	1.502374e+02	C
176	2022-08-10 10:57:35.587000	1.518304e+02	C
177	2022-08-10 10:57:35.620000	1.393327e+02	C
178	2022-08-10 10:57:35.653000	1.470192e+02	C
179	2022-08-10 10:57:35.687000	1.486337e+02	C
180	2022-08-10 10:57:35.720000	1.459367e+02	C
181	2022-08-10 10:57:35.753000	1.477381e+02	C
182	2022-08-10 10:57:35.787000	1.468391e+02	C
183	2022-08-10 10:57:35.820000	1.498819e+02	C
184	2022-08-10 10:57:35.853000	1.482759e+02	C
185	2022-08-10 10:57:35.887000	1.441212e+02	C
186	2022-08-10 10:57:35.920000	1.437564e+02	C
187	2022-08-10 10:57:35.953000	1.455747e+02	C
188	2022-08-10 10:57:35.987000	1.426585e+02	C
189	2022-08-10 10:57:36.020000	1.464786e+02	C
190	2022-08-10 10:57:36.053000	1.461174e+02	C
191	2022-08-10 10:57:36.087000	1.495260e+02	C
192	2022-08-10 10:57:36.120000	1.534129e+02	C
193	2022-08-10 10:57:36.153000	1.521829e+02	C
194	2022-08-10 10:57:36.187000	1.468391e+02	C
195	2022-08-10 10:57:36.220000	1.397046e+02	C
196	2022-08-10 10:57:36.253000	1.450307e+02	C
197	2022-08-10 10:57:36.287000	1.411864e+02	C
198	2022-08-10 10:57:36.320000	1.432081e+02	C
199	2022-08-10 10:57:36.353000	1.486337e+02	C
200	2022-08-10 10:57:36.387000	1.455747e+02	C
201	2022-08-10 10:57:36.420000	1.484549e+02	C
202	2022-08-10 10:57:36.453000	1.482759e+02	C
